Table vi_04_q: Entry clearance visas granted by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/statistics/immigration-statistics-year-ending-march-2018-data-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Broad category,Applicant type,Category,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1
Work,Tier 2 & pre-PBS equivalent,Main applicant,Other permit free employment - skilled,z,z,z,0,103,201,228,186,217,165,132,40,45,32,18,13,10,3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 2 & pre-PBS equivalent,Dependant,Tier 2 - Dependant,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,25,"2,035","3,887","4,973","4,606","5,348","6,267","7,219","5,770","6,128","4,103","3,289","2,340","2,432","2,694","2,916","2,320","2,817","3,089","3,787","2,836","3,106","3,569","4,096","3,601","3,627","3,699","4,333","3,482","3,231","3,700","4,008","3,299","3,370","3,366","4,559","3,681","3,504"
Work,Tier 2 & pre-PBS equivalent,Dependant,Tier 2 - Intra Company Transfers Short Term,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,830,"1,154","1,146","1,256","1,442","1,558","1,320","1,681","1,881","2,019","1,832","2,144","2,213","2,253","2,244","2,242","2,132","2,145","1,887","2,341","2,725","2,178","1,761","2,295","1,932",776,194,47
Work,Tier 2 & pre-PBS equivalent,Dependant,Tier 2 - Intra Company Transfers Long Term,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,"2,201","3,194","2,411","3,021","3,340","3,415","2,611","3,295","3,973","3,904","3,043","3,331","4,288","3,939","3,421","3,909","3,740","3,524","2,920","3,405","4,657","3,954","3,114","3,700","5,641","6,229","5,037","5,791"
Work,Tier 2 & pre-PBS equivalent,Dependant,Work Permit Holders,"10,920","12,555","12,377","9,823","12,058","12,537","13,809","11,115","10,759","7,194","7,137","5,005","5,173","4,988","5,845","6,023","4,447","3,090","2,270","1,674","1,448",771,791,654,543,415,317,273,217,160,107,124,67,56,39,27,15,7,3,4,z,9,8,4,10,7,4,7,1,17,24,19,3
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Charity Workers,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5,281,361,729,482,452,553,706,548,448,468,768,510,439,506,616,427,412,507,681,439,413,558,657,451,413,461,696,429,327,418,579,446,378,384,553,268,339
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Creative and Sporting,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1,779,"1,890","2,078","1,204","1,842","2,329","2,209","1,377","2,620","2,146","2,050","1,202","2,639","2,576","1,997","1,558","2,438","2,410","2,353","1,527","2,275","2,533","2,327","1,371","2,184","1,730","2,053","1,126","1,774","1,999","2,032","1,200","1,792","2,182","1,884","1,135","1,880"
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Government Authorised Exchange,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,98,351,918,365,508,"1,072","1,180",475,626,"1,271","1,219",517,711,"1,882","1,295",688,785,"1,926","1,567",737,867,"2,155","1,757",914,"1,140","2,259","1,900",943,"1,158","2,151","1,927","1,155","1,072","2,274","1,974","1,066","1,233"
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - International Agreement,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,51,117,179,98,124,114,131,84,100,97,157,111,82,112,146,83,108,140,159,83,100,112,165,83,84,127,176,76,87,111,142,73,99,118,142,59,101
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Religious Workers,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,48,260,470,260,295,446,527,282,322,496,514,313,368,503,434,219,515,722,703,277,372,560,636,346,340,500,605,287,341,565,598,309,309,424,572,301,329
